k,ivb_c,ivb_p,iva_c,iva_p,f,v_c,v_p,t
22200,,15.69317866,20.0440989,15.83133774,23929.18,7.876589479,7.239611085,0.124
22400,,15.13796887,22.1168546,15.24744965,23929.18,10.27313334,9.036099062,0.124
22600,,14.59741647,20.09090363,14.68603393,23929.18,11.9488711,11.22105125,0.124
22800,15.07856348,14.12864579,16.11263959,14.20052628,23929.18,15.6365392,13.87847281,0.124
23000,9.183561444,13.67372508,18.07682509,13.73401777,23929.18,17.62231568,16.87654204,0.124
23200,,13.33604425,17.46038787,13.38574231,23929.18,18.22769243,20.16607601,0.124
23400,13.20283386,12.96668878,13.66799901,13.05232199,23929.18,23.56153413,23.30675848,0.124
23600,12.96565811,12.67950729,13.23377071,12.79496731,23929.18,26.06420657,25.96410297,0.124
23800,12.70719436,12.44096345,12.92398388,12.54947557,23929.18,27.67048652,27.65548159,0.124
24000,12.54907163,12.17726391,12.62043614,12.24858733,23929.18,28.02437673,28.02067418,0.124
24200,12.3546548,11.97554207,12.5,12.23578345,23929.18,26.96303401,26.8970004,0.124
24400,12.33030127,11.08984381,12.37091364,12.7301069,23929.18,24.61957669,24.36484984,0.124
24600,12.27841509,10.81311405,12.37237483,12.73923655,23929.18,21.37104455,20.82289404,0.124
24800,12.30231431,11.48442605,12.41585803,12.30536808,23929.18,17.72149243,17.07083555,0.124
25000,12.4276246,11.21217313,12.49841411,12.43626407,23929.18,14.15811228,13.13457137,0.124
25200,12.5,,12.59375505,15.36480904,23929.18,10.86713136,10.73373832,0.124
25400,12.59522502,8.757008806,12.72136502,21.54715263,23929.18,8.086894188,14.54875953,0.124
25600,12.84298531,14.67619072,13.00800406,20.70293429,23929.18,6.066284623,13.07115299,0.124
25800,13.0223952,,13.25641037,24.31148573,23929.18,4.413352561,12.26377564,0.124
26000,12.94566805,16.30147933,13.5945586,23.38848778,23929.18,3.105822117,11.35264096,0.124